index,CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,Year
7103,"Austin-Round Rock, TX",12420,1991-09-21,74,Moderate,Ozone,48-453-0014,5,1991
7104,"Austin-Round Rock, TX",12420,1991-09-22,58,Moderate,Ozone,48-453-0014,3,1991
7105,"Austin-Round Rock, TX",12420,1991-09-23,38,Good,NO2,48-453-0017,3,1991
7106,"Austin-Round Rock, TX",12420,1991-09-24,29,Good,Ozone,48-453-0014,3,1991
7107,"Austin-Round Rock, TX",12420,1991-09-25,37,Good,Ozone,48-453-0014,3,1991
7108,"Austin-Round Rock, TX",12420,1991-09-26,47,Good,NO2,48-453-0017,3,1991
7109,"Austin-Round Rock, TX",12420,1991-09-27,71,Moderate,Ozone,48-453-0014,5,1991
7110,"Austin-Round Rock, TX",12420,1991-09-28,48,Good,Ozone,48-453-0014,3,1991
7111,"Austin-Round Rock, TX",12420,1991-09-29,90,Moderate,Ozone,48-453-0014,3,1991
7112,"Austin-Round Rock, TX",12420,1991-09-30,71,Moderate,Ozone,48-453-0014,3,1991
7113,"Austin-Round Rock, TX",12420,1991-10-01,44,Good,Ozone,48-453-0014,2,1991
7114,"Austin-Round Rock, TX",12420,1991-10-02,77,Moderate,Ozone,48-453-0014,2,1991
7115,"Austin-Round Rock, TX",12420,1991-10-03,43,Good,Ozone,48-453-0014,4,1991
7116,"Austin-Round Rock, TX",12420,1991-10-04,37,Good,Ozone,48-453-0014,3,1991
7117,"Austin-Round Rock, TX",12420,1991-10-05,40,Good,Ozone,48-453-0014,3,1991
7118,"Austin-Round Rock, TX",12420,1991-10-06,44,Good,Ozone,48-453-0014,3,1991
7119,"Austin-Round Rock, TX",12420,1991-10-07,51,Moderate,Ozone,48-453-0014,3,1991
7120,"Austin-Round Rock, TX",12420,1991-10-08,47,Good,Ozone,48-453-0014,3,1991
7121,"Austin-Round Rock, TX",12420,1991-10-09,67,Moderate,Ozone,48-453-0014,4,1991
7122,"Austin-Round Rock, TX",12420,1991-10-10,74,Moderate,Ozone,48-453-0014,3,1991
7123,"Austin-Round Rock, TX",12420,1991-10-11,47,Good,NO2,48-453-0017,3,1991
7124,"Austin-Round Rock, TX",12420,1991-10-12,87,Moderate,Ozone,48-453-0014,3,1991
7125,"Austin-Round Rock, TX",12420,1991-10-13,140,Unhealthy for Sensitive Groups,Ozone,48-453-0003,3,1991
7126,"Austin-Round Rock, TX",12420,1991-10-14,74,Moderate,Ozone,48-453-0014,3,1991
7127,"Austin-Round Rock, TX",12420,1991-10-15,54,Moderate,Ozone,48-453-0014,5,1991
7128,"Austin-Round Rock, TX",12420,1991-10-16,77,Moderate,Ozone,48-453-0014,3,1991
7129,"Austin-Round Rock, TX",12420,1991-10-17,67,Moderate,Ozone,48-453-0014,3,1991
7130,"Austin-Round Rock, TX",12420,1991-10-18,49,Good,Ozone,48-453-0003,3,1991
7131,"Austin-Round Rock, TX",12420,1991-10-19,48,Good,Ozone,48-453-0014,3,1991
7132,"Austin-Round Rock, TX",12420,1991-10-20,93,Moderate,Ozone,48-453-0003,3,1991
7133,"Austin-Round Rock, TX",12420,1991-10-21,136,Unhealthy for Sensitive Groups,Ozone,48-453-0014,5,1991
7134,"Austin-Round Rock, TX",12420,1991-10-22,32,Good,Ozone,48-453-0014,3,1991
7135,"Austin-Round Rock, TX",12420,1991-10-23,28,Good,NO2,48-453-0017,2,1991
7136,"Austin-Round Rock, TX",12420,1991-10-24,24,Good,Ozone,48-453-0014,3,1991
7137,"Austin-Round Rock, TX",12420,1991-10-25,28,Good,NO2,48-453-0017,3,1991
7138,"Austin-Round Rock, TX",12420,1991-10-26,21,Good,Ozone,48-453-0014,3,1991
7139,"Austin-Round Rock, TX",12420,1991-10-27,21,Good,Ozone,48-453-0014,5,1991
7140,"Austin-Round Rock, TX",12420,1991-10-28,19,Good,NO2,48-453-0017,3,1991
7141,"Austin-Round Rock, TX",12420,1991-10-29,19,Good,NO2,48-453-0017,2,1991
7142,"Austin-Round Rock, TX",12420,1991-10-30,19,Good,NO2,48-453-0017,3,1991
