CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-27,93,Moderate,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-28,45,Good,NO2,13-121-0048,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-29,61,Moderate,Ozone,13-085-0001,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-04-30,51,Moderate,NO2,13-121-0048,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-01,97,Moderate,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-02,116,Unhealthy for Sensitive Groups,SO2,13-121-0048,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-03,140,Unhealthy for Sensitive Groups,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-04,47,Good,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-05,61,Moderate,SO2,13-121-0048,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-06,112,Unhealthy for Sensitive Groups,SO2,13-121-0048,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-07,115,Unhealthy for Sensitive Groups,Ozone,13-223-0002,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-08,122,Unhealthy for Sensitive Groups,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-09,41,Good,NO2,13-121-0048,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-10,74,Moderate,SO2,13-121-0048,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-11,91,Moderate,SO2,13-121-0053,13
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-12,105,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-13,49,Good,SO2,13-121-0053,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-14,185,Unhealthy,SO2,13-121-0048,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-15,174,Unhealthy,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-16,90,Moderate,Ozone,13-085-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-17,62,Moderate,NO2,13-121-0048,12
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-18,77,Moderate,SO2,13-121-0053,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-19,119,Unhealthy for Sensitive Groups,Ozone,13-247-0001,11
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-20,49,Good,SO2,13-121-0053,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-21,47,Good,Ozone,13-247-0001,10
"Atlanta-Sandy Springs-Roswell, GA",12060,1990-05-22,80,Moderate,SO2,13-121-0053,11
