CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
"Austin-Round Rock, TX",12420,1990-03-22,42,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-03-23,35,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-03-25,19,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-03-26,14,Good,Ozone,48-453-0003,2
"Austin-Round Rock, TX",12420,1990-03-27,29,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-03-28,32,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-04-01,33,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-04-02,46,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-04-03,51,Moderate,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-04-04,105,Unhealthy for Sensitive Groups,Ozone,48-453-0014,2
"Austin-Round Rock, TX",12420,1990-04-05,37,Good,Ozone,48-453-0014,5
"Austin-Round Rock, TX",12420,1990-04-07,43,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-04-08,38,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-04-09,28,Good,Ozone,48-453-0017,3
"Austin-Round Rock, TX",12420,1990-04-10,30,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-04-11,38,Good,Ozone,48-453-0003,5
"Austin-Round Rock, TX",12420,1990-04-12,44,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-04-13,33,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-04-15,33,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-04-16,29,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-04-17,28,Good,Ozone,48-453-0017,5
"Austin-Round Rock, TX",12420,1990-04-18,37,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-04-19,28,Good,Ozone,48-453-0017,3
"Austin-Round Rock, TX",12420,1990-04-20,32,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-04-21,35,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-04-22,28,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-04-23,28,Good,Ozone,48-453-0014,5
"Austin-Round Rock, TX",12420,1990-04-24,24,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-04-25,24,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-04-26,28,Good,Ozone,48-453-0017,3
"Austin-Round Rock, TX",12420,1990-04-27,43,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-04-28,58,Moderate,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-04-29,67,Moderate,Ozone,48-453-0014,5
"Austin-Round Rock, TX",12420,1990-04-30,39,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-05-02,25,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-05-03,38,Good,Ozone,48-453-0017,3
"Austin-Round Rock, TX",12420,1990-05-04,43,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-05-05,77,Moderate,Ozone,48-453-0014,5
"Austin-Round Rock, TX",12420,1990-05-06,58,Moderate,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-05-07,77,Moderate,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-05-08,35,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-05-09,44,Good,Ozone,48-453-0014,2
"Austin-Round Rock, TX",12420,1990-05-10,51,Moderate,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-05-11,42,Good,Ozone,48-453-0014,5
"Austin-Round Rock, TX",12420,1990-05-12,47,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-05-13,67,Moderate,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-05-14,34,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-05-15,25,Good,Ozone,48-453-0003,3
"Austin-Round Rock, TX",12420,1990-05-16,30,Good,Ozone,48-453-0014,2
"Austin-Round Rock, TX",12420,1990-05-17,47,Good,Ozone,48-453-0014,5
"Austin-Round Rock, TX",12420,1990-05-19,30,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-05-20,33,Good,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-05-21,74,Moderate,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-05-22,77,Moderate,Ozone,48-453-0014,3
"Austin-Round Rock, TX",12420,1990-05-23,101,Unhealthy for Sensitive Groups,Ozone,48-453-0014,5
"Austin-Round Rock, TX",12420,1990-05-24,37,Good,Ozone,48-453-0003,3
